strength,height,heigh_diff,distance_layout,distance_total,barrier_wall
-38,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-42,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-42,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-32,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-47,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-32,80.00,25.00,144.22,146.37,False
-32,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-32,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-32,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-32,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-42,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-32,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-42,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-38,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-41,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-40,80.00,25.00,144.22,146.37,False
-39,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-37,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-33,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-36,80.00,25.00,144.22,146.37,False
-35,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
-34,80.00,25.00,144.22,146.37,False
